vehiculo,electrolinera,bateria_al_recargar,numero_recorrido
Nissan LEAF Standard Range 52 kWh,CC la Florida,16.3,23
BMW i4 eDrive40,CC Quinta Etapa,19.5,33
Nissan LEAF Standard Range 52 kWh,CC Cacique,17.7,46
Nissan LEAF Standard Range 52 kWh,CC la Florida,19.3,70
BMW i4 eDrive40,Éxito de la Rosita,16.8,75
Nissan LEAF Standard Range 52 kWh,CC Cacique,19.6,95
BMW i4 eDrive40,CC Quinta Etapa,19.3,109
Nissan LEAF Standard Range 52 kWh,CC la Florida,16.4,114
Nissan LEAF Standard Range 52 kWh,EDS Terpel Piedecuesta,18.5,140
BMW i4 eDrive40,EDS Terpel Piedecuesta,17.5,149
Nissan LEAF Standard Range 52 kWh,CC la Florida,19.7,163
BMW i4 eDrive40,Homecenter,18.1,187
Nissan LEAF Standard Range 52 kWh,CC Cacique,19.3,188
Nissan LEAF Standard Range 52 kWh,EDS Terpel Piedecuesta,16.4,208
BMW i4 eDrive40,EDS Terpel Piedecuesta,18.0,220
Nissan LEAF Standard Range 52 kWh,Homecenter,18.4,228
Nissan LEAF Standard Range 52 kWh,Éxito de la Rosita,19.7,252
BMW i4 eDrive40,Promotores del Oriente,19.2,256
Nissan LEAF Standard Range 52 kWh,CC Cacique,18.1,276
BMW i4 eDrive40,Éxito de la Rosita,17.8,291
Nissan LEAF Standard Range 52 kWh,Promotores del Oriente,19.1,297
Nissan LEAF Standard Range 52 kWh,EDS Terpel Piedecuesta,16.7,320
BMW i4 eDrive40,Éxito de la Rosita,19.4,326
Nissan LEAF Standard Range 52 kWh,Homecenter,18.5,344
BMW i4 eDrive40,Homecenter,19.9,368
Nissan LEAF Standard Range 52 kWh,Homecenter,19.7,372
Nissan LEAF Standard Range 52 kWh,EDS Terpel Piedecuesta,16.7,395
BMW i4 eDrive40,CC la Florida,19.2,405
Nissan LEAF Standard Range 52 kWh,Homecenter,19.2,421
BMW i4 eDrive40,Homecenter,19.2,443
Nissan LEAF Standard Range 52 kWh,CC Cacique,19.5,444
Nissan LEAF Standard Range 52 kWh,Promotores del Oriente,19.4,472
BMW i4 eDrive40,Homecenter,17.2,483
Nissan LEAF Standard Range 52 kWh,Homecenter,18.7,494
